Gene	GLUT_DOWN	RAP_DOWN	INSULIN_2F_UP	LEU_DOWN	GNF_FEMALE_GENES	Proteasome_Degradati	ST_Dictyostelium_dis	proteasomePathway	mtorPathway	XINACT_MERGED	cellcyclePathway	raccycdPathway	telPathway	TCA	rhoPathway	MAP00193_ATP_synthes	cell_cycle_arrest	SA_G1_AND_S_PHASES	mRNA_splicing	mRNA_processing
PRO2730	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EEF1G	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAOB	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COPS5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAP4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBA2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMLG	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFE2L1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SH3GLB1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPO7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YWHAH	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SET	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPLP1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GMPR	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSDA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TSG101	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CL640	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ST13	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TALDO1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NDUFS4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD59	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZAK	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC25A12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CANX	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLRX	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTMA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FEM1B	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUI1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS20	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX7A2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRP14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL7A	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLJ11506	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPM1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSPC016	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC35B1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BTF3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARF4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LAMR1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE2B	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCT8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE2I	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FHL3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NRD1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL41	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PC4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LAPTM4A	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFIT1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CMAS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRI1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10orf7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PPP1R15A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CUL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
MAP2K6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
MYC	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
KRAS2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TERF1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
G22P1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
MAPK3	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
NFKB1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
RAF1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ACTR3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
ETFA	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
BF	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ITPKB	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGA9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ITPR3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ITPKA	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PDE3B	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PI3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SGCB	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DGKA	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SDHB	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
IDH3G	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
IDH2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SUCLA2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
FH	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SDHC	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OGDH	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
DDX3X	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PRKX	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
EIF2S3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TMSB4X	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
EIF1AX	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
UTX	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PPP2CA	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
EIF4A2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
EIF4B	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
RPS6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PTEN	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
EIF4E	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TSC2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
RPS6KB1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TSC1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FKBP1A	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
RPS4X	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
RPS27A	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGFBP1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFI16	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CREB3L2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AEBP1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL31	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OGT	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EEF1B2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL15	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MITF	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL35A	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS17	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC24A3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNG2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LAPTM5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STOM	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DHRS8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL24	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGFBP3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL26	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS3A	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRY	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL39	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS24	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLIC4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTR2B	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL34	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL36AL	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HRB2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL21	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAP1L1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FTL	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XIST	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL36A	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMD14	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PTBP1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
