Gene	chr19p13	chr1p36	chr12p13	chr16p11	chr17q25	chr2p13	chr11q12	chr2q35	chr15q26	chr4q13	chr7q36	chr1q24	chr15q25	chr18p11	chr15q22	chr20p11	chr7q34	chr11q24	chr19q13	chr19
RPS9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ACTN4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
KLK7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
HNRPL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
RRAS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ERF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
HPN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
KLK3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
GPI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
APOC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
CEACAM4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
SYT5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
RPL13A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
MAG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
FPRL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
EML2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
PAK4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
NCR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
GRIK5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
LRP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
LENG4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
SIGLEC7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
EMP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
PLD3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
LTBP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
NR1H2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
SCGF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
PPP5C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
CYP2A6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
FTL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
PLAUR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
TGFB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
BBC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
POU2F2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
BAX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
TNNT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
BCL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
U2AF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
TYROBP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
RTN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ZNF507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
IGSF4C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ZNF8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LILRA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PSG11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
RELB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C19orf14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GIPR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PSG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CD33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CYP2A13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
