Gene	chr6	chr14	chr6p21	chr13	chr6p22	chr14q32	chr5q31	chr17q23	chr6q21	chr4p16	chr10q24	chr13q14	chr1q42	chr1q25	chr17q24	chr3q13	chr10q25	chr6q23	chr10p15	chr8p11
FOXO1A	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MRPS31	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
POLG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PRKAR1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SMURF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ABCA8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
KPNA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
HELZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
DDX5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
POLRMT	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
TLK2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ICAM2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FTSJ3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
TRIM37	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
COIL	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MAP3K3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SUPT4H1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SMARCD2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AKAP1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
APPBP2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FAM33A	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DDX42	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PSMC5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SFRS1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ZNF161	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CD79B	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MTMR4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FALZ	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
PSMD12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
POLB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FNTA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MYST3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AP3M2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CSPG6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SHOC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ADD3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
TCF7L2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CASP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
RGS16	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PRDX6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
TNN	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NMNAT2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
RNF2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LAMC1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
RABGAP1L	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
C1orf16	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
RGL1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
DHX9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CTBP1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
DGKQ	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SLBP	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MAN2B2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
C4orf8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CRMP1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
WHSC2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
RNF4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
WHSC1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MAEA	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GAK	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
WFS1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
KIAA0217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GDI2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
IDI1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SLC15A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CD47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CBLB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GTF2E1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
BBX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CD200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GOT1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NT5C2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MMS19L	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
KAZALD1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
C10orf26	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
SEC31L2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PPRC1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TAF5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
C10orf6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MGEA5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DNTT	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
BLNK	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
HARSL	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF14	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NDUFA2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf19	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC23	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf15	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PCDHGA12	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
HSPA4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC26A2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TCERG1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NR3C1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CTNNA1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CNOT8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
HDAC3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FSTL4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
P4HA2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PHF15	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
JMJD1B	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
BRD8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ALDH7A1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
HARS	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TAF7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
VDAC1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX46	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRPA0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
IK	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TBCE	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GGPS1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GNPAT	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
COG2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TSNAX	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TAF5L	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
LBR	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NUP133	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SRP9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NVL	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PARP1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
